Title	Year	Rating	Runtime	Score	Votes	Famous	RatingGroup
Journey Back to Christmas	2016	TV-G	84	7	2950	TRUE	G
Once Upon a Main Street	2020	TV-PG	87	6.3	690	FALSE	PG
Christmas on the Rocks	2022	NA	90	6.4	72	FALSE	Other
Christmas Around the Corner	2018	TV-PG	90	6.6	1596	TRUE	PG
A Christmas Princess	2019	TV-PG	90	5.5	768	FALSE	PG
Magic Stocking	2015	AL	86	6.4	1566	TRUE	Other
The Spruces and the Pines	2017	Unrated	86	6	976	FALSE	Other
Magical Christmas Ornaments	2017	TV-14	90	6.3	1757	TRUE	Other
Four Christmases and a Wedding	2017	TV-14	90	5.9	1319	TRUE	Other
Time for You to Come Home for Christmas	2019	TV-G	84	7	1061	FALSE	G
My Christmas Love	2016	TV-G	85	6.2	2737	TRUE	G
Deliver by Christmas	2020	TV-G	84	6.6	1212	TRUE	G
A Wedding for Christmas	2018	AL	90	5.3	942	FALSE	Other
Hitched for the Holidays	2012	TV-PG	87	6.5	2118	TRUE	PG
Christmas at Cartwright's	2014	TV-G	84	6.3	1979	TRUE	G
An Accidental Christmas	2007	TV-PG	90	4.4	586	FALSE	PG
Jingle Bell Bride	2020	TV-G	84	6.1	1225	TRUE	G
Finding Father Christmas	2016	TV-G	84	6.8	2388	TRUE	G
Girlfriends of Christmas Past	2016	TV-PG	90	5.1	911	FALSE	PG
The Christmas Edition	2020	TV-PG	88	6.1	650	FALSE	PG
Window Wonderland	2013	TV-G	86	6.7	2242	TRUE	G
Christmas on Ice	2020	TV-PG	87	6.1	956	FALSE	PG
The Perfect Christmas Present	2017	TV-G	82	6.3	1705	TRUE	G
Shoelaces for Christmas	2018	TV-PG	90	6.3	470	FALSE	PG
A Merry Christmas Match	2019	TV-G	82	5.8	1270	TRUE	G
A Godwink Christmas: Meant for Love	2019	Not Rated	85	6.9	1638	TRUE	Other
A Christmas Coincidence	2018	TV-G	87	6.6	1754	TRUE	G
Charming Christmas	2015	TV-G	85	6.1	1842	TRUE	G
Christmas Land	2015	TV-G	84	5.8	2698	TRUE	G
Prancer Returns	2001	Not Rated	91	5.8	630	FALSE	Other
The Dog Days of Christmas	2021	NA	88	5.2	248	FALSE	Other
Elf-Man	2012	Not Rated	86	3.5	727	FALSE	Other
Christmas Wishes and Mistletoe Kisses	2019	TV-G	84	6.5	1701	TRUE	G
Christmas Encore	2017	TV-G	83	5.7	1274	TRUE	G
A Christmas in Royal Fashion	2018	AL	90	5.3	718	FALSE	Other
Christmas at Pemberley Manor	2018	TV-G	84	6.2	2553	TRUE	G
A Candy Cane Christmas	2020	TV-PG	91	5.5	681	FALSE	PG
Christmas Under the Stars	2019	TV-G	82	6.7	2033	TRUE	G
Christmas Mail	2010	TV-PG	89	5.3	1799	TRUE	PG
Road to Christmas	2018	TV-G	84	6.7	2025	TRUE	G
Love at the Christmas Table	2012	Not Rated	89	6.3	2609	TRUE	Other
One Starry Christmas	2014	TV-G	83	6.5	2215	TRUE	G
It's Beginning to Look a Lot Like Christmas	2019	TV-G	83	6	948	FALSE	G
Inn Love by Christmas	2020	NA	88	5.9	718	FALSE	Other
48 Christmas Wishes	2017	TV-G	84	3.9	1195	FALSE	G
Christmas Next Door	2017	TV-G	86	6.5	2547	TRUE	G
Rediscovering Christmas	2019	TV-G	87	5.8	430	FALSE	G
Boyfriends of Christmas Past	2021	TV-G	84	6	1134	FALSE	G
A Christmas Reunion	2015	TV-G	86	5.1	778	FALSE	G
Marrying Father Christmas	2018	TV-G	85	6.3	1392	TRUE	G
It's Christmas, Carol!	2012	TV-G	87	5.8	945	FALSE	G
Broadcasting Christmas	2016	TV-G	84	6	1899	TRUE	G
Red Snow	2021	NA	80	5.4	1874	TRUE	Other
A Song for Christmas	2017	TV-G	89	5.9	877	FALSE	G
Christmas Scavenger Hunt	2019	TV-G	82	6	1272	TRUE	G
Sleigh Bells Ring	2016	TV-G	82	6.3	1398	TRUE	G
The Christmas Chalet	2019	AL	90	6.6	867	FALSE	Other
Mistletoe Match	2022	NA	NA	6.5	87	FALSE	Other
Santa Baby	2006	PG	89	5.5	1771	TRUE	PG
Christmas on Repeat	2022	NA	89	5.5	148	FALSE	Other
The Christmas Sitters	2020	NA	80	5.4	205	FALSE	Other
Matchmaker Santa	2012	TV-G	75	6.5	2454	TRUE	G
Merry Liddle Christmas	2019	TV-G	87	5.8	594	FALSE	G
Winnie the Pooh: A Very Merry Pooh Year	2002	G	65	6.6	2688	TRUE	G
Christmas Perfection	2018	TV-PG	90	5.5	950	FALSE	PG
The Christmas Doctor	2020	TV-G	84	6.9	818	FALSE	G
Christmas on 5th Avenue	2021	NA	84	6.4	363	FALSE	Other
Christmas in the Highlands	2019	NA	84	4.8	735	FALSE	Other
A Christmas Star	2015	AL	82	5.1	1994	TRUE	Other
Christmas in the Air	2017	TV-G	84	6.2	1333	TRUE	G
Paper Angels	2014	Not Rated	90	6.6	662	FALSE	Other
The Christmas Cure	2017	TV-G	87	6.2	1562	TRUE	G
A Chance for Christmas	2021	TV-PG	92	5.8	439	FALSE	PG
Gingerbread Miracle	2021	NA	84	6.6	1066	FALSE	Other
Christmas on the Menu	2020	TV-PG	88	6.2	593	FALSE	PG
My Christmas Inn	2018	TV-G	100	5.5	2340	TRUE	G
Santa & Cie	2017	TV-PG	92	6.3	2695	TRUE	PG
Christmas Time	2017	TV-PG	90	5.9	470	FALSE	PG
A Christmas Carol	2012	NA	82	3.5	191	FALSE	Other
The Christmas Shepherd	2014	NA	84	6.7	1259	TRUE	Other
Mariah Carey's Magical Christmas Special	2020	TV-G	43	5.7	1419	TRUE	G
The Engagement Clause	2016	TV-PG	87	5.5	1282	TRUE	PG
A Christmas Exchange	2020	TV-PG	87	6	615	FALSE	PG
Chasing Christmas	2005	PG	81	5.1	839	FALSE	PG
Picture Perfect Royal Christmas	2020	NA	85	5.4	440	FALSE	Other
Journey to the Christmas Star	2012	G	80	5.7	1598	TRUE	G
Nantucket Noel	2021	TV-G	84	5.9	909	FALSE	G
The Christmas Ornament	2013	TV-G	83	6.7	2055	TRUE	G
On the Twelfth Day of Christmas	2015	TV-G	84	6.8	2101	TRUE	G
Help for the Holidays	2012	TV-G	90	6.6	2290	TRUE	G
A Royal Christmas Engagement	2020	NA	86	4.8	412	FALSE	Other
Christmas List	2016	TV-G	84	6.1	2051	TRUE	G
Christmas She Wrote	2020	TV-G	84	5.8	1133	FALSE	G
Wrapped Up in Christmas	2017	TV-PG	90	6	830	FALSE	PG
Once Upon a Holiday	2015	TV-G	84	6.1	3335	TRUE	G
Christmas Incorporated	2015	TV-G	85	6.4	2167	TRUE	G
Christmas Pen Pals	2018	TV-PG	87	7	1378	TRUE	PG
Christmas in Homestead	2016	TV-G	84	6.5	2491	TRUE	G
The Christmas Dance	2021	NA	94	4.6	236	FALSE	Other
A Christmas for the Books	2018	NA	90	5.2	977	FALSE	Other
A Joyous Christmas	2017	TV-G	84	6.2	1372	TRUE	G
12 Days of Giving	2017	TV-G	87	6	1004	FALSE	G
Pete's Christmas	2013	PG	86	6	1949	TRUE	PG
Northpole: Open for Christmas	2015	TV-G	83	6.1	1868	TRUE	G
The Christmas Blessing	2005	TV-G	96	6.2	1186	FALSE	G
Hope at Christmas	2018	TV-G	82	6.5	1384	TRUE	G
Signed, Sealed, Delivered for Christmas	2014	Not Rated	84	7.5	1478	TRUE	Other
An Evergreen Christmas	2014	PG	98	5.7	456	FALSE	PG
A Perfect Christmas List	2014	TV-G	88	5.6	1203	TRUE	G
Ice Sculpture Christmas	2015	TV-G	83	6.5	2206	TRUE	G
The Great Holiday Bake War	2022	NA	84	6	51	FALSE	Other
His and Her Christmas	2005	TV-PG	89	5	696	FALSE	PG
All About Christmas Eve	2012	PG-13	88	5.7	1217	TRUE	PG
Christmas in the City	2013	TV-PG	87	5.7	1579	TRUE	PG
Random Acts of Christmas	2019	TV-G	88	6.5	1024	FALSE	G
Enchanted Christmas	2017	TV-G	84	5.8	1344	TRUE	G
Christmas Harmony	2018	TV-PG	85	6.3	723	FALSE	PG
3 Holiday Tails	2011	TV-PG	88	5.5	805	FALSE	PG
Christmas in Harmony	2021	TV-G	84	5.5	680	FALSE	G
Our Christmas Love Song	2019	Not Rated	82	6.3	1000	FALSE	Other
Pups Alone	2021	PG	107	3.5	1355	TRUE	PG
It Takes a Christmas Village	2021	TV-PG	87	6.5	435	FALSE	PG
Meet Me at Christmas	2020	AL	83	6.4	1001	FALSE	Other
A Very Merry Toy Store	2017	TV-PG	90	5.5	1034	FALSE	PG
Homemade Christmas	2020	TV-PG	85	5.8	605	FALSE	PG
All I Want for Christmas	2022	PG	NA	5.3	26	FALSE	PG
A Sugar & Spice Holiday	2020	TV-G	84	6.4	508	FALSE	G
Two Turtle Doves	2019	AL	84	6.8	1273	TRUE	Other
The Christmas Spirit	2013	TV-G	84	5.8	1019	FALSE	G
Engaging Father Christmas	2017	TV-G	88	6.7	1640	TRUE	G
The Case of the Christmas Diamond	2022	NA	90	6.1	98	FALSE	Other
A Belle for Christmas	2014	PG	91	4.7	504	FALSE	PG
Barbie: A Perfect Christmas	2011	Not Rated	74	5.4	1078	FALSE	Other
Christmas Collision	2021	NA	95	3.5	189	FALSE	Other
The Christmas Gift	2015	TV-PG	85	5.3	736	FALSE	PG
Ghosting: The Spirit of Christmas	2019	TV-14	87	5.9	543	FALSE	Other
Christmas Unwrapped	2020	TV-G	87	6.1	884	FALSE	G
Once Upon a Time at Christmas	2017	R	97	3.4	610	FALSE	Other
Christmas with the Andersons	2016	Unrated	90	4.1	502	FALSE	Other
Sound of Christmas	2016	TV-G	84	6.4	1113	FALSE	G
Welcome to Christmas	2018	TV-G	90	6.3	1367	TRUE	G
Mistletoe Magic	2019	NA	85	6.3	472	FALSE	Other
The Christmas High Note	2020	TV-G	85	5.1	259	FALSE	G
Christmas Festival of Ice	2017	TV-G	84	5.9	1215	TRUE	G
Christmas Belles	2019	TV-14	85	6.2	149	FALSE	Other
'Tis the Season for Love	2015	TV-G	98	6.3	1888	TRUE	G
A Christmas Stray	2021	TV-PG	84	6.3	231	FALSE	PG
A Christmas Tree Miracle	2013	TV-G	102	6.5	879	FALSE	G
Christmas at Holly Lodge	2017	TV-G	84	6.5	1622	TRUE	G
A Country Christmas Story	2013	Not Rated	120	6.3	632	FALSE	Other
12 Dog Days Till Christmas	2014	Unrated	90	4.6	503	FALSE	Other
A Christmas Dance Reunion	2021	TV-PG	87	6.1	423	FALSE	PG
Love Always, Santa	2016	TV-G	84	6.6	1680	TRUE	G
Campfire Christmas	2022	TV-G	84	5.4	495	FALSE	G
Christmas Cupcakes	2018	AL	88	5.8	648	FALSE	Other
A Date by Christmas Eve	2019	TV-PG	93	5.8	566	FALSE	PG
A Very Vintage Christmas	2019	TV-G	87	6.1	611	FALSE	G
A Holiday in Harlem	2021	TV-G	84	5.4	527	FALSE	G
A Sunburnt Christmas	2020	NA	91	6.9	739	FALSE	Other
The Trouble with Mistletoe	2017	6	111	6.2	829	FALSE	Other
Mr. Miracle	2014	TV-G	86	5.3	557	FALSE	G
Snekker Andersen og Julenissen	2016	NA	70	6.4	782	FALSE	Other
Snowbound for Christmas	2019	PG	83	5.3	681	FALSE	PG
Christmas Staycation	2020	NA	77	5.1	874	FALSE	Other
Wish Upon a Christmas	2015	PG-13	86	5.8	757	FALSE	PG
Hashtag Blessed: The Movie	2022	NA	NA	6.1	28	FALSE	Other
Christmas in Louisiana	2019	TV-PG	90	5.8	560	FALSE	PG
Christmas Joy	2018	TV-G	84	6.4	1887	TRUE	G
The Mistletoe Inn	2017	TV-G	84	6.4	1832	TRUE	G
Holiday High School Reunion	2012	Not Rated	88	4.9	1353	TRUE	Other
Letters to Satan Claus	2020	TV-14	87	4.8	452	FALSE	Other
Jingle Around the Clock	2018	TV-G	90	6.5	1415	TRUE	G
Christmas Everlasting	2018	TV-PG	85	6.3	1043	FALSE	PG
Christmas Trade	2015	Not Rated	99	4.9	562	FALSE	Other
Sweet Mountain Christmas	2019	TV-G	88	6.3	610	FALSE	G
Christmas on Honeysuckle Lane	2018	PG	100	6.2	1234	TRUE	PG
This Is Christmas	2017	NA	128	3.6	26	FALSE	Other
Christmas Connection	2017	TV-G	83	6.4	1890	TRUE	G
Christmas in the Clouds	2001	PG	96	6.4	841	FALSE	PG
Christmas in Palm Springs	2014	Not Rated	84	5	462	FALSE	Other
The Christmas Ring	2020	TV-G	84	6.4	1068	FALSE	G
Christmas in Compton	2012	PG-13	93	4.6	295	FALSE	PG
A Gingerbread Romance	2018	TV-PG	90	5.5	882	FALSE	PG
A Christmas Duet	2019	Not Rated	84	5.9	768	FALSE	Other
Oh Christmas Tree!	2013	TV-G	87	6.3	2403	TRUE	G
Every Day Is Christmas	2018	TV-PG	85	5.9	515	FALSE	PG
Christmas with Tucker	2013	Not Rated	87	6.7	648	FALSE	Other
The Christmas Listing	2020	TV-PG	84	5.2	548	FALSE	PG
Undercover Christmas	2003	NA	87	6.3	969	FALSE	Other
My Christmas Dream	2016	TV-G	82	6.2	2024	TRUE	G
Catch a Christmas Star	2013	TV-G	84	6.2	1797	TRUE	G
Snow 2: Brain Freeze	2008	TV-PG	84	6	1103	FALSE	PG
Best Christmas Party Ever	2014	TV-G	84	6.3	1974	TRUE	G
A Crafty Christmas Romance	2020	TV-PG	84	5.5	540	FALSE	PG
A Midnight Kiss	2018	TV-G	81	6	841	FALSE	G
The Christmas Hope	2009	TV-PG	90	6.5	810	FALSE	PG
Christmas with a Crown	2020	NA	89	5.4	1122	FALSE	Other
Christmas a la Mode	2019	TV-PG	87	6.4	1001	FALSE	PG
A Dog for Christmas	2015	Not Rated	89	5.5	934	FALSE	Other
Forgotten Christmas	2019	NA	70	5.9	385	FALSE	Other
Christmas, Again	2014	Not Rated	80	6.6	1129	FALSE	Other
Welcome to the Christmas Family Reunion	2021	AL	87	5.1	267	FALSE	Other
Romance at Reindeer Lodge	2017	TV-G	90	6.4	1495	TRUE	G
My Favorite Christmas Melody	2021	TV-PG	87	5.4	214	FALSE	PG
Kristin's Christmas Past	2013	TV-PG	86	6.2	1212	TRUE	PG
My Sweet Holiday	2020	NA	84	5.4	554	FALSE	Other
Christmas Truce	2015	PG-13	88	5.5	479	FALSE	PG
Memories of Christmas	2018	TV-G	120	6.1	720	FALSE	G
Christmas at the Chateau	2019	TV-PG	98	3.7	306	FALSE	PG
The Truth About Christmas	2018	TV-14	90	5.6	599	FALSE	Other
A Miracle on Christmas Lake	2016	Not Rated	110	4.4	266	FALSE	Other
Holiday Heist	2019	TV-PG	87	5.6	144	FALSE	PG
Dear Secret Santa	2013	PG	88	6.1	763	FALSE	PG
Christmas Hotel	2019	TV-G	88	6	467	FALSE	G
Letters to Santa	2011	NA	110	7.2	4585	TRUE	Other
I'm Not Ready for Christmas	2015	TV-G	84	6	2046	TRUE	G
A Christmas Arrangement	2018	TV-14	90	5.4	556	FALSE	Other
Christmas All Over Again	2016	PG	78	3.8	289	FALSE	PG
Soul Santa	2021	NA	NA	7.1	113	FALSE	Other
Stealing Christmas	2003	TV-PG	89	5.7	947	FALSE	PG
Christmas with a Capital C	2011	NA	81	4.3	1070	FALSE	Other
Staging Christmas	2019	TV-G	85	5.5	520	FALSE	G
Love's Christmas Journey	2011	TV-G	171	6.3	772	FALSE	G
The National Tree	2009	TV-G	88	5.8	587	FALSE	G
The Man Who Saved Christmas	2002	TV-PG	100	6.5	535	FALSE	PG
Entertaining Christmas	2018	TV-G	85	6.1	1047	FALSE	G
A Sisterly Christmas	2021	TV-PG	83	5.7	148	FALSE	PG
Always and Forever Christmas	2019	TV-G	87	5.4	489	FALSE	G
A Cheerful Christmas	2019	TV-G	83	4.9	1013	FALSE	G
All I Want Is Christmas	2012	TV-PG	100	5.4	580	FALSE	PG
Christmas on the Vine	2020	TV-PG	87	6.1	558	FALSE	PG
Jingle Belle	2018	TV-PG	86	5.9	558	FALSE	PG
Reunited at Christmas	2018	TV-G	85	6.2	1141	FALSE	G
A Golden Christmas 3	2012	Not Rated	88	5.6	847	FALSE	Other
A Sweet Christmas Romance	2019	TV-G	87	6.2	740	FALSE	G
The Santa Stakeout	2021	TV-G	84	6.4	1095	FALSE	G
Christmas Love Letter	2019	TV-PG	86	6.1	564	FALSE	PG
An Ice Wine Christmas	2021	TV-PG	84	5.1	317	FALSE	PG
Baking Spirits Bright	2021	TV-PG	85	5.2	237	FALSE	PG
Cupid for Christmas	2021	PG	87	5.6	203	FALSE	PG
The Horses of McBride	2012	Not Rated	89	6.5	342	FALSE	Other
A Trash Truck Christmas	2020	AL	28	5.6	227	FALSE	Other
Let's Meet Again on Christmas Eve	2020	TV-PG	87	5.7	377	FALSE	PG
Magical Christmas Shoes	2019	TV-G	87	6.3	586	FALSE	G
Christmas Is Here Again	2007	G	74	5.1	362	FALSE	G
A Christmas Proposal	2008	PG	84	4.6	597	FALSE	PG
Christmas in Canaan	2009	TV-PG	96	6.9	606	FALSE	PG
Saying Yes to Christmas	2021	TV-PG	90	5.8	287	FALSE	PG
Beaus of Holly	2020	NA	88	5.7	250	FALSE	Other
Gift of the Magi	2010	Not Rated	85	5.4	534	FALSE	Other
The Santa Con	2014	Not Rated	88	6	641	FALSE	Other
Puppy Star Christmas	2018	PG	91	3.6	267	FALSE	PG
This Is Our Christmas	2018	NA	79	3.3	177	FALSE	Other
A Fairly Odd Christmas	2012	Approved	68	4.4	934	FALSE	Other
The Christmas Pageant	2011	TV-G	87	5.5	575	FALSE	G
Cancel Christmas	2010	TV-G	87	5.5	594	FALSE	G
A Doggone Christmas	2016	NA	82	4.1	212	FALSE	Other
The Santa Incident	2010	Not Rated	88	4.8	412	FALSE	Other
Baby in a Manger	2019	G	80	5.1	254	FALSE	G
A Christmas for Mary	2020	TV-G	90	5.8	160	FALSE	G
Baking Christmas	2019	TV-PG	84	6.1	162	FALSE	PG
A Christmas Eve Miracle	2015	Not Rated	80	3.5	319	FALSE	Other
Middleton Christmas	2020	NA	92	5.5	249	FALSE	Other
The Dog Who Saved Christmas Vacation	2010	PG	89	3.6	445	FALSE	PG
One Christmas Wish	2015	TV-PG	86	6.8	535	FALSE	PG
Christmas by Chance	2020	NA	97	6.1	285	FALSE	Other
Off Season	2001	TV-G	94	5.6	352	FALSE	G
The Dog Who Saved the Holidays	2012	PG	83	4.4	287	FALSE	PG
A Perfect Day	2006	Not Rated	87	5.6	1152	FALSE	Other
Christmas on Wheels	2020	TV-PG	86	5.8	432	FALSE	PG
Royal Family Christmas	2015	NA	NA	6.7	80	FALSE	Other
The Night Before the Night Before Christmas	2010	TV-PG	88	5.6	707	FALSE	PG
Holiday Joy	2016	PG	87	5.4	984	FALSE	PG
The Christmas Temp	2019	TV-PG	87	5.5	444	FALSE	PG
Christmas Coupon	2019	Not Rated	92	3.3	231	FALSE	Other
The Christmas Consultant	2012	TV-PG	88	5.1	587	FALSE	PG
Christmas Proposal	2021	NA	96	4.3	82	FALSE	Other
Operation Christmas List	2016	TV-Y	88	4.6	90	FALSE	Other
Christmas with the Dead	2012	NA	88	6.2	91	FALSE	Other
Christmas with the Karountzoses	2015	Not Rated	110	6.3	104	FALSE	Other
The Littlest Light on the Christmas Tree	2004	Not Rated	44	3.7	145	FALSE	Other
An Unremarkable Christmas	2020	TV-14	82	3.2	148	FALSE	Other
The Key to Christmas	2020	NA	80	5.4	103	FALSE	Other
Christmas at the Riviera	2007	NA	94	6.1	214	FALSE	Other
I'll Be Next Door for Christmas	2018	TV-PG	100	5	796	FALSE	PG
A New Christmas	2019	NA	79	5.3	473	FALSE	Other
Chilly Christmas	2012	Not Rated	84	4.8	239	FALSE	Other
Christmas on Mars	2008	Not Rated	83	5.3	797	FALSE	Other
The Borrowed Christmas	2014	Not Rated	95	4	180	FALSE	Other
Christmas with Cookie	2016	NA	53	4.8	74	FALSE	Other
Christmas on the Carousel	2021	NA	71	4.4	129	FALSE	Other
The Three Dogateers	2014	TV-Y	88	3	305	FALSE	Other
10 Horas para o Natal	2020	NA	90	5.6	124	FALSE	Other
Delivering Christmas	2017	TV-PG	11	7	121	FALSE	PG
A Bulldog for Christmas	2013	TV-G	83	3.8	104	FALSE	G
The Christmas Doodle	2021	NA	60	3.9	34	FALSE	Other
Krauses Fest	2007	NA	88	6.6	109	FALSE	Other
Der Weihnachtshund	2004	NA	90	5.7	76	FALSE	Other
The Christmas Ride	2020	NA	70	5.5	78	FALSE	Other
A Kylie Christmas: Live from the Royal Albert Hall	2015	NA	120	8.5	48	FALSE	Other
Perfect Strangers	2015	NA	26	7.1	26	FALSE	Other
Christmas at Cadillac Jack's	2007	NA	58	6.7	279	FALSE	Other
Christmas Coming Out	2021	Not Rated	17	6.6	20	FALSE	Other
Community Theater Christmas	2019	TV-14	103	7.5	53	FALSE	Other
Christmas at the Royal Hotel	2018	NA	108	4.2	46	FALSE	Other
Discarding Santa	2018	NA	85	4.8	41	FALSE	Other
Blind Turn	2012	Not Rated	80	5.3	136	FALSE	Other
Mistletoe	2011	NA	NA	3.9	10	FALSE	Other
It's Always Sunny in Philadelphia: A Very Sunny Christmas	2005	TV-MA	43	9.2	4606	TRUE	Other
re: View: Blood Beat	2016	NA	37	7.1	18	FALSE	Other
